,sample,timeSinceboot,ADC0,ADC1,ADC2
0,18.0,165981872.0,1.51626,0.670312,0.64856
1,17.0,165986894.0,1.484033,0.690454,0.668701
2,16.0,165991913.0,1.519482,0.694482,0.672729
3,15.0,165996932.0,1.535596,0.676758,0.652588
4,14.0,166001951.0,1.475977,0.681592,0.659033
5,13.0,166006970.0,1.508203,0.694482,0.670312
6,12.0,166011989.0,1.528345,0.68562,0.660645
7,11.0,166017007.0,1.496924,0.672729,0.649365
8,10.0,166022025.0,1.500147,0.693677,0.670312
9,9.0,166027044.0,1.523511,0.692065,0.666284
10,8.0,166037081.0,1.48645,0.690454,0.669507
11,7.0,166042099.0,1.517065,0.694482,0.671118
12,6.0,166047117.0,1.533984,0.675146,0.651782
13,5.0,166052135.0,1.473559,0.683203,0.660645
14,1.0,166072207.0,1.499341,0.694482,0.670312
15,0.0,166077243.0,1.522705,0.690454,0.665479
16,18.0,166082276.0,1.51062,0.671118,0.646143
17,17.0,166087298.0,1.485644,0.692065,0.66709
18,16.0,166092317.0,1.518677,0.694482,0.670312
19,15.0,166097335.0,1.53479,0.675146,0.651782
20,14.0,166102353.0,1.476782,0.684814,0.662256
21,13.0,166107371.0,1.517065,0.696094,0.671118
22,12.0,166112389.0,1.532373,0.684009,0.658228
23,11.0,166117407.0,1.49209,0.674341,0.652588
24,9.0,166127448.0,1.521094,0.690454,0.664673
25,8.0,166132469.0,1.509009,0.671924,0.645337
26,7.0,166137488.0,1.49209,0.69126,0.66709
27,7.0,166142505.0,1.519482,0.693677,0.667895
28,6.0,166147523.0,1.532373,0.673535,0.646948
29,5.0,166152541.0,1.472754,0.684814,0.660645
30,4.0,166157559.0,1.515454,0.695288,0.668701
31,2.0,166167595.0,1.491284,0.674341,0.652588
32,1.0,166172613.0,1.504175,0.692871,0.671118
33,0.0,166177650.0,1.521899,0.687231,0.666284
34,18.0,166182684.0,1.505786,0.66709,0.647754
35,17.0,166187707.0,1.489673,0.689648,0.669507
36,16.0,166192724.0,1.522705,0.69126,0.668701
37,15.0,166197742.0,1.531567,0.670312,0.64856
38,14.0,166202760.0,1.477588,0.682397,0.663867
39,10.0,166222832.0,1.502563,0.69126,0.671924
40,8.0,166232869.0,1.511426,0.668701,0.646948
41,7.0,166237887.0,1.493701,0.69126,0.668701
42,6.0,166242905.0,1.518677,0.692065,0.667895
43,6.0,166247923.0,1.525122,0.671924,0.647754
44,1.0,166273013.0,1.508203,0.694482,0.671924
45,0.0,166278052.0,1.521094,0.690454,0.66709
46,18.0,166283083.0,1.496924,0.671118,0.649365
47,17.0,166288104.0,1.495312,0.693677,0.671924
48,16.0,166293123.0,1.528345,0.693677,0.671118
49,15.0,166298141.0,1.526733,0.672729,0.649365
50,14.0,166303159.0,1.477588,0.688843,0.667895
51,13.0,166308177.0,1.518677,0.694482,0.671924
52,12.0,166313195.0,1.538818,0.679175,0.655005
53,11.0,166318213.0,1.485644,0.680786,0.658228
54,10.0,166323231.0,1.508203,0.695288,0.672729
55,9.0,166328253.0,1.521899,0.687231,0.665479
56,8.0,166333275.0,1.493701,0.671118,0.64856
57,7.0,166338293.0,1.493701,0.692065,0.670312
58,6.0,166343311.0,1.522705,0.692065,0.668701
59,5.0,166348329.0,1.525122,0.671924,0.646948
60,4.0,166358365.0,1.519482,0.694482,0.671118
61,2.0,166368401.0,1.480005,0.680786,0.660645
62,1.0,166373419.0,1.507397,0.694482,0.672729
63,0.0,166378456.0,1.522705,0.690454,0.665479
64,18.0,166383491.0,1.501758,0.670312,0.64856
65,17.0,166388515.0,1.497729,0.693677,0.670312
66,16.0,166393533.0,1.523511,0.69126,0.667895
67,15.0,166398551.0,1.519482,0.671118,0.647754
68,14.0,166403569.0,1.484033,0.690454,0.668701
69,13.0,166408587.0,1.515454,0.694482,0.671924
70,10.0,166423643.0,1.509814,0.696094,0.671924
71,8.0,166433679.0,1.496118,0.672729,0.649365
72,7.0,166438697.0,1.496118,0.693677,0.671118
73,6.0,166443715.0,1.522705,0.692065,0.667895
74,3.0,166458769.0,1.515454,0.693677,0.671118
75,2.0,166468805.0,1.474365,0.683203,0.66145
76,1.0,166473824.0,1.512231,0.695288,0.672729
77,0.0,166478860.0,1.525928,0.681592,0.658228
78,18.0,166483893.0,1.496118,0.673535,0.651782
79,17.0,166488917.0,1.497729,0.694482,0.671924
80,16.0,166493936.0,1.524316,0.692065,0.668701
81,15.0,166498954.0,1.514648,0.671118,0.650171
82,14.0,166503972.0,1.487256,0.690454,0.671924
83,13.0,166508990.0,1.523511,0.692871,0.672729
84,12.0,166514008.0,1.529956,0.671924,0.651782
85,11.0,166519026.0,1.480811,0.682397,0.663867
86,10.0,166524053.0,1.515454,0.692065,0.671118
87,8.0,166534093.0,1.492895,0.671924,0.650171
88,7.0,166539112.0,1.498535,0.690454,0.670312
89,6.0,166544130.0,1.524316,0.686426,0.665479
90,5.0,166549148.0,1.515454,0.66709,0.646143
91,4.0,166554166.0,1.485644,0.687231,0.667895
92,2.0,166564202.0,1.533179,0.669507,0.649365
93,1.0,166569220.0,1.476782,0.680786,0.663867
94,1.0,166574238.0,1.513037,0.69126,0.672729
95,0.0,166579278.0,1.535596,0.684009,0.662256
96,18.0,166584312.0,1.490479,0.670312,0.651782
97,17.0,166589333.0,1.502563,0.687231,0.669507
98,16.0,166594352.0,1.521899,0.684814,0.663867
99,15.0,166599369.0,1.509009,0.666284,0.645337
100,14.0,166604387.0,1.492895,0.688037,0.667895
101,13.0,166609405.0,1.522705,0.689648,0.66709
102,9.0,166629478.0,1.537207,0.678369,0.656616
103,8.0,166634496.0,1.484033,0.675146,0.655005
104,7.0,166639514.0,1.503369,0.692871,0.671924
105,6.0,166644532.0,1.525928,0.687231,0.665479
106,5.0,166649550.0,1.507397,0.670312,0.647754
107,4.0,166654568.0,1.493701,0.69126,0.668701
108,18.0,166679678.0,1.535596,0.678369,0.651782
109,18.0,166684702.0,1.476782,0.677563,0.654199
110,17.0,166689721.0,1.503369,0.694482,0.671118
111,16.0,166694739.0,1.528345,0.689648,0.664673
112,15.0,166699757.0,1.515454,0.672729,0.647754
113,14.0,166704775.0,1.496118,0.692871,0.671118
114,13.0,166709793.0,1.522705,0.693677,0.667895
115,12.0,166714811.0,1.525928,0.671924,0.646948
116,11.0,166719829.0,1.475977,0.688037,0.666284
117,10.0,166724850.0,1.512231,0.693677,0.671118
118,9.0,166729869.0,1.536401,0.678369,0.653394
119,8.0,166734887.0,1.477588,0.679175,0.656616
120,7.0,166739905.0,1.509009,0.695288,0.671118
121,6.0,166744923.0,1.525122,0.688037,0.663867
122,5.0,166749941.0,1.496924,0.671924,0.647754
123,3.0,166759977.0,1.524316,0.692871,0.670312
124,2.0,166764995.0,1.524316,0.671924,0.649365
125,1.0,166770013.0,1.470337,0.688037,0.670312
126,0.0,166775049.0,1.517065,0.694482,0.673535
127,18.0,166780090.0,1.54043,0.675146,0.654199
